,id,firstname,surname,born,died,bornCountry,bornCountryCode,bornCity,diedCountry,diedCountryCode,diedCity,gender,prizes
0,1,Wilhelm Conrad,Röntgen,1845-03-27,1923-02-10,Prussia (now Germany),DE,Lennep (now Remscheid),Germany,DE,Munich,male,"[{'year': '1901', 'category': 'physics', 'share': '1', 'motivation': '""in recognition of the extraordinary services he has rendered by the discovery of the remarkable rays subsequently named after him""', 'affiliations': [{'name': 'Munich University', 'city': 'Munich', 'country': 'Germany'}]}]"
1,2,Hendrik A.,Lorentz,1853-07-18,1928-02-04,the Netherlands,NL,Arnhem,the Netherlands,NL,,male,"[{'year': '1902', 'category': 'physics', 'share': '2', 'motivation': '""in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena""', 'affiliations': [{'name': 'Leiden University', 'city': 'Leiden', 'country': 'the Netherlands'}]}]"
2,3,Pieter,Zeeman,1865-05-25,1943-10-09,the Netherlands,NL,Zonnemaire,the Netherlands,NL,Amsterdam,male,"[{'year': '1902', 'category': 'physics', 'share': '2', 'motivation': '""in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena""', 'affiliations': [{'name': 'Amsterdam University', 'city': 'Amsterdam', 'country': 'the Netherlands'}]}]"
3,4,Henri,Becquerel,1852-12-15,1908-08-25,France,FR,Paris,France,FR,,male,"[{'year': '1903', 'category': 'physics', 'share': '2', 'motivation': '""in recognition of the extraordinary services he has rendered by his discovery of spontaneous radioactivity""', 'affiliations': [{'name': 'École Polytechnique', 'city': 'Paris', 'country': 'France'}]}]"
4,5,Pierre,Curie,1859-05-15,1906-04-19,France,FR,Paris,France,FR,Paris,male,"[{'year': '1903', 'category': 'physics', 'share': '4', 'motivation': '""in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel""', 'affiliations': [{'name': 'École municipale de physique et de chimie industrielles (Municipal School of Industrial Physics and Chemistry)', 'city': 'Paris', 'country': 'France'}]}]"
5,6,Marie,Curie,1867-11-07,1934-07-04,Russian Empire (now Poland),PL,Warsaw,France,FR,Sallanches,female,"[{'year': '1903', 'category': 'physics', 'share': '4', 'motivation': '""in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel""', 'affiliations': [[]]}, {'year': '1911', 'category': 'chemistry', 'share': '1', 'motivation': '""in recognition of her services to the advancement of chemistry by the discovery of the elements radium and polonium, by the isolation of radium and the study of the nature and compounds of this remarkable element""', 'affiliations': [{'name': 'Sorbonne University', 'city': 'Paris', 'country': 'France'}]}]"
6,8,Lord,Rayleigh,1842-11-12,1919-06-30,United Kingdom,GB,"Langford Grove, Maldon, Essex",United Kingdom,GB,,male,"[{'year': '1904', 'category': 'physics', 'share': '1', 'motivation': '""for his investigations of the densities of the most important gases and for his discovery of argon in connection with these studies""', 'affiliations': [{'name': 'Royal Institution of Great Britain', 'city': 'London', 'country': 'United Kingdom'}]}]"
7,9,Philipp,Lenard,1862-06-07,1947-05-20,Hungary (now Slovakia),SK,Pressburg (now Bratislava),Germany,DE,Messelhausen,male,"[{'year': '1905', 'category': 'physics', 'share': '1', 'motivation': '""for his work on cathode rays""', 'affiliations': [{'name': 'Kiel University', 'city': 'Kiel', 'country': 'Germany'}]}]"
8,10,J.J.,Thomson,1856-12-18,1940-08-30,United Kingdom,GB,Cheetham Hill,United Kingdom,GB,Cambridge,male,"[{'year': '1906', 'category': 'physics', 'share': '1', 'motivation': '""in recognition of the great merits of his theoretical and experimental investigations on the conduction of electricity by gases""', 'affiliations': [{'name': 'University of Cambridge', 'city': 'Cambridge', 'country': 'United Kingdom'}]}]"
9,11,Albert A.,Michelson,1852-12-19,1931-05-09,Prussia (now Poland),PL,Strelno (now Strzelno),USA,US,"Pasadena, CA",male,"[{'year': '1907', 'category': 'physics', 'share': '1', 'motivation': '""for his optical precision instruments and the spectroscopic and metrological investigations carried out with their aid""', 'affiliations': [{'name': 'University of Chicago', 'city': 'Chicago, IL', 'country': 'USA'}]}]"
