,id,name,dob,unique_prize_year,unique_prize_category,gender,bornCountryCode
0,1,Wilhelm Conrad Röntgen,1845-03-27,1901,physics,male,DE
1,2,Hendrik A. Lorentz,1853-07-18,1902,physics,male,NL
2,3,Pieter Zeeman,1865-05-25,1902,physics,male,NL
3,4,Henri Becquerel,1852-12-15,1903,physics,male,FR
4,5,Pierre Curie,1859-05-15,1903,physics,male,FR
5,6,Marie Curie,1867-11-07,1911;1903,physics;chemistry,female,PL
6,8,Lord Rayleigh,1842-11-12,1904,physics,male,GB
7,9,Philipp Lenard,1862-06-07,1905,physics,male,SK
8,10,J.J. Thomson,1856-12-18,1906,physics,male,GB
9,11,Albert A. Michelson,1852-12-19,1907,physics,male,PL
10,12,Gabriel Lippmann,1845-08-16,1908,physics,male,LU
11,13,Guglielmo Marconi,1874-04-25,1909,physics,male,IT
12,14,Ferdinand Braun,1850-06-06,1909,physics,male,DE
13,15,Johannes Diderik van der Waals,1837-11-23,1910,physics,male,NL
14,16,Wilhelm Wien,1864-01-13,1911,physics,male,RU
15,17,Gustaf Dalén,1869-11-30,1912,physics,male,SE
16,18,Heike Kamerlingh Onnes,1853-09-21,1913,physics,male,NL
17,19,Max von Laue,1879-10-09,1914,physics,male,DE
18,20,William Bragg,1862-07-02,1915,physics,male,GB
19,21,Lawrence Bragg,1890-03-31,1915,physics,male,AU
20,22,Charles Glover Barkla,1877-06-07,1917,physics,male,GB
21,23,Max Planck,1858-04-23,1918,physics,male,DE
22,24,Johannes Stark,1874-04-15,1919,physics,male,DE
23,25,Charles Edouard Guillaume,1861-02-15,1920,physics,male,CH
24,26,Albert Einstein,1879-03-14,1921,physics,male,DE
25,27,Niels Bohr,1885-10-07,1922,physics,male,DK
26,28,Robert A. Millikan,1868-03-22,1923,physics,male,US
27,29,Manne Siegbahn,1886-12-03,1924,physics,male,SE
28,30,James Franck,1882-08-26,1925,physics,male,DE
29,31,Gustav Hertz,1887-07-22,1925,physics,male,DE
30,32,Jean Baptiste Perrin,1870-09-30,1926,physics,male,FR
31,33,Arthur H. Compton,1892-09-10,1927,physics,male,US
32,34,C.T.R. Wilson,1869-02-14,1927,physics,male,GB
33,35,Owen Willans Richardson,1879-04-26,1928,physics,male,GB
34,36,Louis de Broglie,1892-08-15,1929,physics,male,FR
35,37,Sir Chandrasekhara Venkata Raman,1888-11-07,1930,physics,male,IN
36,38,Werner Heisenberg,1901-12-05,1932,physics,male,DE
37,39,Erwin Schrödinger,1887-08-12,1933,physics,male,AT
38,40,Paul A.M. Dirac,1902-08-08,1933,physics,male,GB
39,41,James Chadwick,1891-10-20,1935,physics,male,GB
40,42,Victor F. Hess,1883-06-24,1936,physics,male,AT
41,43,Carl D. Anderson,1905-09-03,1936,physics,male,US
42,44,Clinton Davisson,1881-10-22,1937,physics,male,US
43,45,George Paget Thomson,1892-05-03,1937,physics,male,GB
44,46,Enrico Fermi,1901-09-29,1938,physics,male,IT
45,47,Ernest Lawrence,1901-08-08,1939,physics,male,US
46,48,Otto Stern,1888-02-17,1943,physics,male,PL
47,49,Isidor Isaac Rabi,1898-07-29,1944,physics,male,PL
48,50,Wolfgang Pauli,1900-04-25,1945,physics,male,AT
49,51,Percy W. Bridgman,1882-04-21,1946,physics,male,US
50,52,Edward V. Appleton,1892-09-06,1947,physics,male,GB
51,53,Patrick M.S. Blackett,1897-11-18,1948,physics,male,GB
52,54,Hideki Yukawa,1907-01-23,1949,physics,male,JP
53,55,Cecil Powell,1903-12-05,1950,physics,male,GB
54,56,John Cockcroft,1897-05-27,1951,physics,male,GB
55,57,Ernest T.S. Walton,1903-10-06,1951,physics,male,IE
56,58,Felix Bloch,1905-10-23,1952,physics,male,CH
57,59,E. M. Purcell,1912-08-30,1952,physics,male,US
58,60,Frits Zernike,1888-07-16,1953,physics,male,NL
59,61,Max Born,1882-12-11,1954,physics,male,PL
60,62,Walther Bothe,1891-01-08,1954,physics,male,DE
61,63,Willis E. Lamb,1913-07-12,1955,physics,male,US
62,64,Polykarp Kusch,1911-01-26,1955,physics,male,DE
63,65,William B. Shockley,1910-02-13,1956,physics,male,GB
64,66,John Bardeen,1908-05-23,1956;1972,physics,male,US
65,67,Walter H. Brattain,1902-02-10,1956,physics,male,CN
66,68,Chen Ning Yang,1922-09-22,1957,physics,male,CN
67,69,Tsung-Dao Lee,1926-11-24,1957,physics,male,CN
68,70,Pavel A. Cherenkov,1904-07-28,1958,physics,male,RU
69,71,Igor Y. Tamm,1895-07-08,1958,physics,male,RU
70,72,Emilio Segrè,1905-02-01,1959,physics,male,IT
71,73,Owen Chamberlain,1920-07-10,1959,physics,male,US
72,74,Donald A. Glaser,1926-09-21,1960,physics,male,US
73,75,Robert Hofstadter,1915-02-05,1961,physics,male,US
74,76,Rudolf Mössbauer,1929-01-31,1961,physics,male,DE
75,77,Lev Landau,1908-01-22,1962,physics,male,AZ
76,78,Eugene Wigner,1902-11-17,1963,physics,male,HU
77,79,Maria Goeppert Mayer,1906-06-28,1963,physics,female,PL
78,80,J. Hans D. Jensen,1907-06-25,1963,physics,male,DE
79,81,Charles H. Townes,1915-07-28,1964,physics,male,US
80,82,Nicolay G. Basov,1922-12-14,1964,physics,male,RU
81,83,Aleksandr M. Prokhorov,1916-07-11,1964,physics,male,AU
82,84,Sin-Itiro Tomonaga,1906-03-31,1965,physics,male,JP
83,85,Julian Schwinger,1918-02-12,1965,physics,male,US
84,86,Richard P. Feynman,1918-05-11,1965,physics,male,US
85,87,Alfred Kastler,1902-05-03,1966,physics,male,FR
86,88,Hans Bethe,1906-07-02,1967,physics,male,FR
87,89,Luis Alvarez,1911-06-13,1968,physics,male,US
88,90,Murray Gell-Mann,1929-09-15,1969,physics,male,US
89,91,Hannes Alfvén,1908-05-30,1970,physics,male,SE
90,92,Louis Néel,1904-11-22,1970,physics,male,FR
91,93,Dennis Gabor,1900-06-05,1971,physics,male,HU
92,95,Leon N. Cooper,1930-02-28,1972,physics,male,US
93,96,Robert Schrieffer,1931-05-31,1972,physics,male,US
94,97,Leo Esaki,1925-03-12,1973,physics,male,JP
95,98,Ivar Giaever,1929-04-05,1973,physics,male,NO
96,99,Brian D. Josephson,1940-01-04,1973,physics,male,GB
97,100,Martin Ryle,1918-09-27,1974,physics,male,GB
98,101,Antony Hewish,1924-05-11,1974,physics,male,GB
99,102,Aage N. Bohr,1922-06-19,1975,physics,male,DK
100,103,Ben R. Mottelson,1926-07-09,1975,physics,male,US
101,104,James Rainwater,1917-12-09,1975,physics,male,US
102,105,Burton Richter,1931-03-22,1976,physics,male,US
103,106,Samuel C.C. Ting,1936-01-27,1976,physics,male,US
104,107,Philip W. Anderson,1923-12-13,1977,physics,male,US
